date,state,confirmed,new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
7/2/2021,Maharashtra,6079352,8753,4.87518203688853,5836920,8385,96.0122065641206,122353,156,2.01259936914329,3212,42096506,33.7582245388933,26512936,6597723,21.2613761026464,5.29087650360866
7/3/2021,Maharashtra,6088841,9489,4.88279149959904,5845315,8395,96.0004539451761,122724,371,2.01555599825977,3227,42320880,33.9381555733761,27074275,6856957,21.7115276663994,5.49876263031275
7/4/2021,Maharashtra,6098177,9336,4.89027826784282,5848693,3378,95.908875718104,123030,306,2.01748817720443,3229,42542943,34.1162333600642,27181412,6894863,21.7974434643144,5.52916038492382
7/5/2021,Maharashtra,6104917,6740,4.89568323977546,5861720,13027,96.0163749973996,123136,106,2.01699711887975,3234,42712460,34.2521732157177,27418684,6986438,21.9877177225341,5.6025966319166
7/6/2021,Maharashtra,6113335,8418,4.90243384121893,5872268,10548,96.0567022746177,123531,395,2.02068101944356,3239,42908288,34.4092125100241,27660383,7142815,22.1815421010425,5.72799919807538
7/7/2021,Maharashtra,6122893,9558,4.91009863672815,5881167,8899,96.0520949818983,123857,326,2.02285096277201,3244,43124800,34.5828388131516,28046874,7398150,22.4914787489976,5.93275862068966
7/8/2021,Maharashtra,6131976,9083,4.9173825180433,5889982,8815,96.0535722905634,124296,439,2.02701380435931,3254,43350257,34.7636383319968,28250377,7522771,22.6546728147554,6.03269526864475
7/9/2021,Maharashtra,6140968,8992,4.92459342421812,5900440,10458,96.0832233615287,125034,738,2.03606336981401,3263,43565119,34.9359414595028,28386834,7588525,22.764101042502,6.08542502004812
7/10/2021,Maharashtra,6149264,8296,4.93124619085806,5906466,6026,96.0515925157872,125528,494,2.04134998920196,3270,43800139,35.1244097834804,28600474,7744107,22.9354242181235,6.21019005613472
7/11/2021,Maharashtra,6157799,8535,4.93809061748196,5912479,6013,96.0161090025835,125878,350,2.04420443083641,3277,44010550,35.2931435445068,28703564,7822426,23.0180946271051,6.27299599037691
7/12/2021,Maharashtra,6165402,7603,4.94418765036087,5927756,15277,96.1454905941251,126024,146,2.04405162875024,3279,44186449,35.4342012830794,28982589,8042207,23.2418516439455,6.4492437850842
7/13/2021,Maharashtra,6172645,7243,4.9499959903769,5938734,10978,96.2105223935606,126220,196,2.04482843254391,3285,44383113,35.5919109863673,29348230,8168543,23.5350681635926,6.55055573376103
7/14/2021,Maharashtra,6181247,8602,4.95689414595028,5944801,6067,96.17478479666,126390,170,2.04473304496649,3292,44609276,35.7732766639936,29557739,8366620,23.7030785886127,6.70939855653569
7/15/2021,Maharashtra,6189257,8010,4.96331756214916,5952192,7391,96.1697341054023,126560,170,2.04483349132214,3300,44824211,35.9456383319968,29723378,8544945,23.8359085805934,6.85240176423416
7/16/2021,Maharashtra,6197018,7761,4.96954129911788,5965644,13452,96.2663655325836,126727,167,2.04496743433697,3310,45039617,36.1183777064956,30053656,8841609,24.1007666399358,7.09030392943063
7/17/2021,Maharashtra,6205190,8172,4.97609462710505,5974594,8950,96.2838204793085,126851,124,2.04427261695452,3316,45260468,36.2954835605453,30339937,9042920,24.3303424218124,7.25174017642342
7/18/2021,Maharashtra,6214190,9000,4.98331194867683,5980350,5756,96.2369995124063,127031,180,2.04420849700444,3323,45481252,36.4725356856455,30417049,9096030,24.3921804330393,7.29433039294306
7/19/2021,Maharashtra,6220207,6017,4.98813712910986,5993401,13051,96.3537226333465,127097,66,2.04329212838094,3334,45648898,36.6069751403368,30636740,9275340,24.5683560545309,7.43812349639134
7/20/2021,Maharashtra,6229596,9389,4.99566639935846,6000911,7510,96.3290556883625,130753,3656,2.09890015339679,3339,45846165,36.76516840417,30752113,9356191,24.6608765036087,7.50295990376905
7/21/2021,Maharashtra,6237755,8159,5.00220930232558,6008750,7839,96.3287272424133,130918,165,2.09879996889907,3342,46068435,36.9434121892542,30819381,9398141,24.7148203688853,7.5366006415397
7/22/2021,Maharashtra,6245057,7302,5.00806495589415,6016506,7756,96.3402896082454,131038,120,2.09826747778283,3345,46264059,37.1002878909383,30922439,9499007,24.7974651162791,7.6174875701684
7/23/2021,Maharashtra,6251810,6753,5.01348035284683,6022485,5979,96.33186229268,131205,167,2.09867222452378,3351,46446360,37.2464795509222,31160321,9695962,24.9882285485164,7.77543063352045
7/24/2021,Maharashtra,6258079,6269,5.01850761828388,6029817,7332,96.3525228748311,131429,224,2.1001492630566,3354,46644448,37.4053311948677,31356929,9844097,25.1458933440257,7.89422373696873
7/25/2021,Maharashtra,6264922,6843,5.02399518845229,6035029,5212,96.3304730689385,131552,123,2.09981864099824,3356,46846984,37.5677497995188,31424960,9894145,25.2004490777867,7.93435846030473
7/26/2021,Maharashtra,6269799,4877,5.02790617481957,6046106,11077,96.432214174649,131605,53,2.09903060688229,3359,46995122,37.686545308741,31669069,10100624,25.3962060946271,8.09993905372895
7/27/2021,Maharashtra,6276057,6258,5.03292461908581,6058751,12645,96.5375394136796,131859,254,2.10098474249039,3365,47176715,37.8321692060946,31989665,10362802,25.6532999198075,8.31018604651163
7/28/2021,Maharashtra,6282914,6857,5.03842341619888,6064856,6105,96.5293492796495,132145,286,2.10324381330064,3368,47369757,37.9869743384122,32189237,10518075,25.8133416198877,8.43470328789094
7/29/2021,Maharashtra,6290156,7242,5.0442309542903,6075888,11032,96.5935979966157,132335,190,2.10384289356258,3371,47559938,38.1394851643945,32394275,10688664,25.9777666399358,8.57150280673617
7/30/2021,Maharashtra,6296756,6600,5.04952365677626,6083319,7431,96.6103657184747,132566,231,2.10530628787268,3377,47760862,38.3006110665597,32793470,10971677,26.2978909382518,8.7984578989575
7/31/2021,Maharashtra,6303715,6959,5.05510425020048,6090786,7467,96.6221664526394,132791,225,2.10655145418218,3383,47967609,38.4664065757819,33381464,11201257,26.7694178027265,8.98256375300722
8/1/2021,Maharashtra,6310194,6479,5.06029991980754,6094896,4110,96.5880922203026,132948,157,2.10687658731253,3388,48185350,38.6410184442662,33440863,11231791,26.8170513231756,9.00704971932638
8/2/2021,Maharashtra,6315063,4869,5.06420449077787,6103325,8429,96.6470959988839,133038,90,2.1066773205588,3397,48352467,38.775033680834,33651161,11354508,26.9856944667201,9.10545950280674
8/3/2021,Maharashtra,6321068,6005,5.06902004811548,6110124,6799,96.6628424184015,133215,177,2.10747614168998,3411,48532523,38.9194250200481,33796696,11449384,27.1024025661588,9.18154290296712
8/4/2021,Maharashtra,6327194,6126,5.073932638332,6117560,7436,96.6867777406541,133410,195,2.10851761460135,3414,48744201,39.089174819567,33939611,11535313,27.2170096230954,9.25045148356054
8/5/2021,Maharashtra,6336220,9026,5.08117080994387,6124278,6718,96.6550719514158,133530,120,2.1074078867211,3417,48962106,39.2639182036889,34255431,11740060,27.4702734562951,9.41464314354451
8/6/2021,Maharashtra,6341759,5539,5.08561267040898,6130137,5859,96.6630393870218,133717,187,2.10851594959695,3422,49172531,39.43266319166,34530719,11846167,27.691033680834,9.49973295910185
8/7/2021,Maharashtra,6347820,6061,5.09047313552526,6139493,9356,96.7181331543743,133845,128,2.10851914515534,3432,49372212,39.5927923015237,34739849,11947723,27.8587401764234,9.58117321571772
8/8/2021,Maharashtra,6353328,5508,5.09489013632719,6144388,4895,96.7113298730996,133996,151,2.10906787749664,3434,49568519,39.7502157177225,34789942,11968889,27.8989109863673,9.59814675220529
8/9/2021,Maharashtra,6357833,4505,5.09850280673617,6151956,7568,96.7618369340623,134064,68,2.10864299203832,3438,49725694,39.8762582197273,35044144,12114068,28.1027618283881,9.71456936647955
8/10/2021,Maharashtra,6363442,5609,5.10300080192462,6159676,7720,96.7978650547927,134201,137,2.10893727011262,3442,49905065,40.0201002405774,35261712,12239857,28.2772349639134,9.81544266238974
8/11/2021,Maharashtra,6369002,5560,5.10745950280674,6166620,6944,96.8223906979461,134364,163,2.10965548448564,3448,50116137,40.1893640737771,35421888,12326358,28.4056840417001,9.88480994386528
8/12/2021,Maharashtra,6375390,6388,5.11258219727346,6175010,8390,96.8569765928045,134572,208,2.11080420178217,3457,50326812,40.358309542903,35554925,12383314,28.5123696872494,9.93048436246993
8/13/2021,Maharashtra,6382076,6686,5.11794386527666,6180871,5861,96.8473424634868,134730,158,2.11106856138974,3471,50545552,40.5337225340818,35755010,12472836,28.6728227746592,10.0022742582197
8/14/2021,Maharashtra,6387863,5787,5.12258460304731,6186223,5352,96.8433887827588,134909,179,2.11195825583611,3469,50759767,40.7055068163593,36384800,12814601,29.1778668805132,10.2763440256616
8/15/2021,Maharashtra,6392660,4797,5.12643143544507,6189933,3710,96.8287536017871,135039,130,2.11240704182609,3469,50959730,40.8658620689655,36542647,12875413,29.3044482758621,10.3251106655974
8/16/2021,Maharashtra,6396805,4145,5.12975541299118,6195744,5811,96.8568527569623,135139,100,2.1126015252927,3470,51111895,40.9878869286287,36979429,13076064,29.6547145148356,10.4860176423416
8/17/2021,Maharashtra,6401213,4408,5.13329029671211,6201168,5424,96.8748891811599,135255,116,2.11295890325787,3484,51291383,41.1318227746592,37444743,13307700,30.0278612670409,10.6717722534082
8/18/2021,Maharashtra,6406345,5132,5.13740577385726,6209364,8196,96.9252202308805,135413,158,2.11373255733183,3499,51489080,41.2903608660786,37801328,13465810,30.3138155573376,10.7985645549318
8/19/2021,Maharashtra,6411570,5225,5.14159582999198,6214921,5557,96.9329041092899,135567,154,2.11441191471044,3503,51714950,41.4714915797915,37951602,13539557,30.4343239775461,10.8577040898156
8/20/2021,Maharashtra,6415935,4365,5.14509623095429,6221305,6384,96.9664592923713,135672,105,2.11460995162825,3504,51921798,41.6373680834002,38228399,13675638,30.6562943063352,10.9668307939054
8/21/2021,Maharashtra,6420510,4575,5.14876503608661,6227219,5914,96.9894759139072,135817,145,2.11536155227544,3507,52124250,41.7997193263833,38994650,14009863,31.2707698476343,11.2348540497193
