date,state,confirmed,new conf,% of conf,% of new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
7/7/2021,Tamil Nadu,2506848,3367,7.38583290730374,0.009920066712817,3.18127918781726,2439576,3704,97.3164707233945,33196,64,1.32421271652689,0,33941304,43.0727208121827,14280590,2814007,18.122576142132,3.57107487309645
7/8/2021,Tamil Nadu,2510059,3211,7.36172591401818,0.009417508476857,3.18535406091371,2443141,3565,97.3340068898779,33253,57,1.32478957665935,0,34096067,43.2691205583756,14363683,2879848,18.2280241116751,3.65462944162437
7/9/2021,Tamil Nadu,2513098,3039,7.33800560843535,0.008873589109551,3.18921065989848,2446552,3411,97.3520332275144,33322,69,1.32593317093086,0,34247698,43.4615456852792,14418168,2918241,18.2971675126904,3.70335152284264
7/10/2021,Tamil Nadu,2516011,2913,7.31438733116442,0.008468488530329,3.19290736040609,2449873,3321,97.3713151492581,33371,49,1.32634555254329,0,34398110,43.652423857868,14464842,2940208,18.3563984771574,3.73122842639594
7/11/2021,Tamil Nadu,2518786,2775,7.29104588127722,0.008032700007283,3.19642893401015,2453061,3188,97.3906080151311,33418,47,1.32675026778774,0,34546292,43.8404720812183,14521761,2968689,18.4286307106599,3.76737182741117
7/12/2021,Tamil Nadu,2521438,2652,7.26916657381182,0.007645569612955,3.19979441624365,2456165,3104,97.4112788020169,33454,36,1.32678257407083,0,34686755,44.0187246192893,14781129,3066750,18.7577779187817,3.89181472081218
7/13/2021,Tamil Nadu,2523943,2505,7.24711054421832,0.007192718660155,3.20297335025381,2459223,3058,97.4357582560304,33502,48,1.32736753563769,0,34826887,44.196557106599,15160088,3143822,19.23869035533,3.98962182741117
7/14/2021,Tamil Nadu,2526401,2458,7.22380322280886,0.007028222487904,3.20609263959391,2462244,3021,97.4605377372792,33557,55,1.32825311579595,0,34973281,44.3823362944162,15323595,3226031,19.4461865482234,4.09394796954315
7/15/2021,Tamil Nadu,2528806,2405,7.20048373650688,0.006847960415429,3.20914467005076,2465250,3006,97.4867190286641,33606,49,1.32892756502476,0,35119946,44.5684593908629,15444736,3287279,19.5999187817259,4.17167385786802
7/16/2021,Tamil Nadu,2531118,2312,7.17666451442927,0.006555383177458,3.21207868020305,2468236,2986,97.5156432849041,33652,46,1.3295310609778,0,35268724,44.7572639593909,15657545,3374362,19.869980964467,4.28218527918782
7/17/2021,Tamil Nadu,2533323,2205,7.15334194109775,0.006226256572936,3.2148769035533,2471038,2802,97.5413715503313,33695,43,1.33007121476417,0,35414538,44.942307106599,15926560,3458016,20.2113705583756,4.38834517766497
7/18/2021,Tamil Nadu,2535402,2079,7.13033453234264,0.005846790959674,3.2175152284264,2473781,2743,97.5695767377323,33724,29,1.33012437475398,0,35557967,45.1243236040609,16014736,3483035,20.323269035533,4.42009517766498
7/19/2021,Tamil Nadu,2537373,1971,7.1088900566263,0.005522097973617,3.22001649746193,2476339,2558,97.5945988232712,33752,28,1.33019465407727,0,35692956,45.2956294416244,16214280,3536983,20.5764974619289,4.48855710659899
7/20/2021,Tamil Nadu,2539277,1904,7.08762333394126,0.005314439829851,3.22243274111675,2478778,2439,97.6174714298598,33782,30,1.33037868653164,0,35826918,45.4656319796954,16353113,3568532,20.7526814720812,4.52859390862944
7/21/2021,Tamil Nadu,2541168,1891,7.06504746447178,0.005257426803468,3.22483248730964,2481201,2423,97.6401796339321,33809,27,1.33045119409657,0,35968166,45.6448807106599,16490501,3604425,20.9270317258883,4.57414340101523
7/22/2021,Tamil Nadu,2543040,1872,7.04175002595964,0.005183621196913,3.22720812182741,2483676,2475,97.6656285390714,33838,29,1.33061218069712,0,36113750,45.8296319796954,16742583,3659605,21.2469327411168,4.64416878172589
7/23/2021,Tamil Nadu,2544870,1830,7.0205715737902,0.005048448832371,3.22953045685279,2486192,2516,97.6942633611933,33862,24,1.33059841956564,0,36248758,46.000961928934,17004414,3723525,21.5792055837563,4.72528553299492
7/24/2021,Tamil Nadu,2546689,1819,6.99822173447609,0.004998555118042,3.23183883248731,2488775,2583,97.7259099952919,33889,27,1.33070822546451,0,36390516,46.1808578680203,17247095,3783423,21.8871763959391,4.80129822335025
7/25/2021,Tamil Nadu,2548497,1808,6.9755453269334,0.004948715243179,3.23413324873096,2491222,2447,97.7525969228137,33911,22,1.33062742471347,0,36534735,46.3638769035533,17331932,3803839,21.9948375634518,4.82720685279188
7/26/2021,Tamil Nadu,2550282,1785,6.95429789032387,0.004867470238283,3.23639847715736,2493583,2361,97.7767556685888,33937,26,1.33071558360997,0,36672027,46.5381053299492,17581627,3852790,22.3117093908629,4.88932741116751
7/27/2021,Tamil Nadu,2552049,1767,6.93202672570945,0.004799630110679,3.23864086294416,2495895,2312,97.7996503985621,33966,29,1.33093055815151,0,36815337,46.7199708121827,17833698,3896575,22.6315964467005,4.9448921319797
7/28/2021,Tamil Nadu,2553805,1756,6.90752732914641,0.004749625750588,3.2408692893401,2498289,2394,97.826145692408,33995,29,1.33115096884844,0,36971334,46.9179365482234,18046306,3938716,22.9014035532995,4.99837055837563
7/29/2021,Tamil Nadu,2555664,1859,6.88331156024788,0.005006947779716,3.24322842639594,2500434,2145,97.8389177920102,34023,28,1.33127829010386,0,37128408,47.117269035533,18311781,4016258,23.2383007614213,5.09677411167513
7/30/2021,Tamil Nadu,2557611,1947,6.85957833568024,0.005221903964117,3.24569923857868,2502627,2193,97.8501812824546,34050,27,1.33132051746728,0,37285251,47.3163083756345,18560128,4105392,23.553461928934,5.2098883248731
7/31/2021,Tamil Nadu,2559597,1986,6.83540801045811,0.005303616275832,3.24821954314721,2504805,2178,97.8593505149443,34076,26,1.33130332626581,0,37446148,47.5204923857868,18965422,4211196,24.0677944162437,5.34415736040609
