date,state,confirmed,new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
7/15/2021,Uttar Pradesh,1707655,70,0.708570539419087,1683551,98,98.5884736671049,22705,1,1.3296011196641,0,61592700,25.5571369294606,33212075,6308010,13.7809439834025,2.61743153526971
7/16/2021,Uttar Pradesh,1707741,86,0.70860622406639,1683691,140,98.5917068220532,22711,6,1.32988550371514,0,61853252,25.6652497925311,33523481,6412237,13.9101580912863,2.66067925311203
7/17/2021,Uttar Pradesh,1707822,81,0.708639834024896,1683797,106,98.5932374685418,22715,4,1.33005664524757,0,62116707,25.774567219917,33831002,6521498,14.0377601659751,2.70601576763485
7/18/2021,Uttar Pradesh,1707847,25,0.70865020746888,1683866,69,98.5958344043699,22721,6,1.33038849498813,0,62371542,25.8803078838174,33842285,6525898,14.0424419087137,2.70784149377593
7/19/2021,Uttar Pradesh,1707884,37,0.708665560165975,1683968,102,98.5996707036309,22728,7,1.33076953704116,0,62590185,25.9710311203319,34394183,6657551,14.2714452282158,2.76246929460581
7/20/2021,Uttar Pradesh,1707953,69,0.708694190871369,1684123,155,98.6047625432316,22737,9,1.3312427215503,0,62826817,26.0692186721992,34795562,6764570,14.4379925311203,2.8068755186722
7/21/2021,Uttar Pradesh,1708005,52,0.708715767634855,1684230,107,98.6080251521512,22739,2,1.331319287707,0,63073005,26.1713713692946,35198077,6838114,14.6050112033195,2.83739170124481
7/22/2021,Uttar Pradesh,1708057,52,0.70873734439834,1684286,56,98.6083017135845,22743,4,1.33151294131285,0,63307101,26.2685066390041,35835165,6961973,14.8693630705394,2.88878547717842
7/23/2021,Uttar Pradesh,1708114,57,0.708760995850622,1684372,86,98.6100459337023,22748,5,1.33176122905146,0,63545093,26.3672585062241,36710535,7103218,15.2325871369295,2.94739336099585
7/24/2021,Uttar Pradesh,1708152,38,0.708776763485477,1684471,99,98.6136479657548,22749,1,1.33179014513931,0,63799832,26.4729593360996,37180784,7209264,15.4277112033195,2.99139585062241
7/25/2021,Uttar Pradesh,1708158,6,0.708779253112033,1684537,66,98.6171653910236,22750,1,1.33184400974617,0,64050325,26.576898340249,37199189,7213587,15.4353481327801,2.99318962655602
7/26/2021,Uttar Pradesh,1708208,50,0.7088,1684601,64,98.6180254395249,22750,0,1.33180502608582,0,64277972,26.6713576763485,37897452,7335881,15.7250838174274,3.04393402489627
7/27/2021,Uttar Pradesh,1708226,18,0.708807468879668,1684674,73,98.6212597162202,22754,4,1.33202515358038,0,64502956,26.764712033195,38287571,7429885,15.8869589211618,3.0829398340249
7/28/2021,Uttar Pradesh,1708313,87,0.70884356846473,1684790,116,98.623027513108,22755,1,1.33201585423748,0,64756042,26.8697269709544,38818078,7517474,16.1070863070539,3.11928381742739
7/29/2021,Uttar Pradesh,1708373,60,0.70886846473029,1684834,44,98.6221393103263,22752,-3,1.33179346664926,0,65007342,26.9740008298755,39185216,7595764,16.2594257261411,3.15176929460581
